reviews,titles
남는 것은 렛 잇 고  약간의 교훈 ,겨울왕국
노래를 다 듣고가서 재미가 덜했다   앞으로 디즈니 영화 보러 갈 때는 예고편도 안보고 갈 것이다 ,겨울왕국
보고나서 든 생각    디즈니가 또 명작을    애들이 진짜 좋아하겠네    ,겨울왕국
풍부한 상상력과 따뜻한 이야기를 원할 땐  디즈니를 찾아라 ,겨울왕국
미친,겨울왕국
아 재밌다         근디 후속편 만들기가 애매한 애니메이션,겨울왕국
나이가 꽤 있을 때까지 애니를 좋아 했었는데 어느 한 순간에 장르가 바뀌더라  아마 내가 그만큼 오염   됐을 것이다  그래도 이 영화를 봐는데 너무나 재미 있었다  마음의 정화를 위해서라도 자주 봐야겠다 ,겨울왕국
사랑만이 모든것을 구원할수 있다  두자매의 우애깊은 사랑이야기   정말 재밌게 봤어요 음악도 멋지고  특히 엘사의           ,겨울왕국
엘사 안나 여운이남네요       년 겨울이 기다려지는 이유 ,겨울왕국
기대보단   ,겨울왕국
이렇게 재밌을 거라 생각 못했는데        넘  재밌게 봤다    여운이 계속 가시지 않아 ,겨울왕국
애들영화라지만 내가봐도 재밌다 레잇고,겨울왕국
겨울왕국   보다는 재미없었어요 크리스토프와 안나의듀엣곡이 없어요 한스데신 크리스토프와 안나의 듀엣곡이 들어갔으면 좋았는데 한스 안나 듀엣곡이 나와서 별루였네요,겨울왕국
아이들에게 그리고 어른들에게도 맞는 영화,겨울왕국
내가 왜 이걸 이제야 봤을까  한동안 머릿속을 떠나질 않네,겨울왕국
노래가 유명해 진게 이유가 있었군  극초반 안나의 어린시절이 너무 귀엽다 ,겨울왕국
명작 ,겨울왕국
  년 동안 준비해온 디즈니의  마법 ,겨울왕국
 ,겨울왕국
디즈니 영화의 최종진화형태,겨울왕국
다소 약해진 스토리를 녹여주는 따뜻한 노래,겨울왕국
너무  뻔하지 않나  어디서 감동 받아야 하지  소녀들이여  왕자를  기다리는  대신 제발  스스로 멋진 여성이 되기를  꿈꿔 이제는  그게  가능한  세상이야 예전에는  불가능  하니  마냥  왕자만을 기다렸겠지만,겨울왕국
애들 영화라 해도 이건 너무 한계를 넘은 거 아닌가   ,겨울왕국
쵝오,수상한 그녀
 ,수상한 그녀
왠지 낯익은 설정   심은경의 연기가 영화를 살렸다,수상한 그녀
최고다   한국영화가 다 이 정도 수준만 되면 소원이 없겠다  재미도 감동도있고 마지막엔 흐느끼며 울기까지  심은경 배우 보석이다 진심  황동혁 감독님 정말 명장이십니다  ,수상한 그녀
따뜻하고  감동적인  영화 다시  봐도  백점 ,수상한 그녀
호박고구마,수상한 그녀
재미  감동 모두다 갖춘 영화 봐도봐도 재밌고 몰입도 최고,수상한 그녀
여러 번 봐도 감동    진영 존잘이다 ,수상한 그녀
웰메이드 작품인데 이제보니  황동혁 감독이시네요  대단합니다,수상한 그녀
황동혁이 이런 사람이었네요  다시봐도 또 좋은 영화가 명작입니다,수상한 그녀
심은경의 시작과 끝,수상한 그녀
아따 겁나 웃기넹 심은경 영화 첨 봤는디 영 귀엽고 연기 잘흐그마 잉,수상한 그녀
다시 봐도 정말 재밌다  이 영화 상은 받았는지 ,수상한 그녀
워뗘  후달려  이 작품은 재방 해줄때마다 보고 또 봐도 웃기고 슬프고 방금 또 울었네,수상한 그녀
지금 첨봤는데 꿀잼,수상한 그녀
국제시장과 더불어 최고의 인생영화라고 말하고 싶다  도박 깡패 영화보다가 이런영화 보니 마음이 따뜻해지고 눈도 뜨거워진다   최고의 영화에 감사를  ,수상한 그녀
굿굿굿  심은경 최고,수상한 그녀
성동일과 내가 비슷한 나이가 돼서 그런지 끝에 독백 장면에서 눈물이 나더군요    우리 엄마 에게도 꿈많은 젊은 시절이 있었을텐데   ,수상한 그녀
레전드  명작입니다      번째 봅니다  ,수상한 그녀
배우연기도 좋고 내용도 잼난 띵작,수상한 그녀
내 인생 최고의 영화    점 만점에   점 ,수상한 그녀
짱,수상한 그녀
심은경 연기  쩐다   대배우 예감 ,수상한 그녀
아   나이를 더 먹고   다시 보니   괜찮은 영화   ,수상한 그녀
